11 Nov, 2017 5:50:19 PM
Results for 5000 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sample.Kevin.Try2.Rl_check_q,918302 (72%),219350,43870,556333,98092,658,0,4393,607,0
2nd,sample.Tracker,364366 (28%),30350,6070,310881,15380,1685,0,613,4387,0
$
