12 Nov, 2017 10:36:43 AM
Results for 5000 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sample.Kevin.Try2.Rl_check_q,922490 (78%),232450,46490,541728,101242,581,0,4654,346,0
2nd,sample.Tracker,266798 (22%),17300,3460,235631,8632,1776,0,351,4649,0
$
