12 Nov, 2017 9:59:46 AM
Results for 5000 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sample.Kevin.Try2.Rl_check_q,918393 (73%),223000,44600,551296,98922,576,0,4465,535,0
2nd,sample.Tracker,331315 (27%),26750,5350,284389,13446,1380,0,540,4460,0
$
