12 Nov, 2017 9:19:19 AM
Results for 5000 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sample.Kevin.Try2.Rl_check_q,896625 (64%),192400,38480,576124,89429,192,0,3856,1144,0
2nd,sample.Tracker,500773 (36%),57200,11440,402199,29528,367,39,1152,3848,0
$
