12 Nov, 2017 11:24:26 AM
Results for 5000 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sample.Kevin.Try2.Rl_check_q,932437 (75%),230250,46050,553232,102320,586,0,4608,392,0
2nd,sample.Tracker,302872 (25%),19600,3920,267834,9872,1646,0,395,4605,0
$
