12 Nov, 2017 10:54:21 AM
Results for 5000 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sample.Kevin.Try2.Rl_check_q,931199 (76%),232600,46520,548900,102654,526,0,4655,345,0
2nd,sample.Tracker,289625 (24%),17250,3450,258801,8536,1588,0,348,4652,0
$
