11 Nov, 2017 7:56:34 PM
Results for 5000 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sample.Kevin.Try2.Rl_check_q_terminal,929621 (63%),193950,38790,595865,95782,4744,489,3882,1118,0
2nd,sample.Tracker,551446 (37%),55900,11180,449290,27976,5820,1281,1121,3879,0
$
